Original,Translated
hide new secretions from the parental units ,hide new secrets from yo folks
"contains no wit , only labored gags ","ain't got no wit, just forced jokes"
that loves its characters and communicates something rather beautiful about human nature ,dat love its characters and say somethin' real beautiful 'bout human nature
remains utterly satisfied to remain the same throughout ,stay completely satisfied to stay the same throughout
on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,on the worst revenge-of-the-nerds clichés the filmmakers could dredge up
that 's far too tragic to merit such superficial treatment ,dat's way too tragic to be gettin' all that shallow treatment
"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ","show that the director of big movies like Patriot Games still can make a small, personal movie with a strong emotional impact."
of saucy ,of saucy
a depressed fifteen-year-old 's suicidal poetry ,a depressed fifteen-year-old's suicidal poetry
are more deeply thought through than in most ` right-thinking ' films ,be thought 'bout deeper than in most 'right-thinking' films
goes to absurd lengths ,do the most
"the part where nothing 's happening , ","the part where ain't nothin' happenin',"
saw how bad this movie was ,Seen how bad this movie was
lend some dignity to a dumb story ,Give some respect to a stupid story.
the greatest musicians ,the coldest musicians
cold movie ,Dat movie cold
with his usual intelligence and subtlety ,with his usual smarts and slickness
redundant concept ,redundant concept
"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . ","Swimming mostly 'bout a young woman's face, and by picking a actress whose face show them woman's doubts and yearnings, it do good."
"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ","if anything, check it out fo' Karen Black, who go all out as a wild feminist conspiracy theorist named Dirty Dick."
a smile on your face ,a smile on yo face
"comes from the brave , uninhibited performances ","come from the brave, uninhibited performances"
excruciatingly unfunny and pitifully unromantic ,painfully unfunny and sad unromantic
enriched by an imaginatively mixed cast of antic spirits ,enriched by a creatively mixed group of wild spirits
"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ","which half of dragonfly worse: the part where ain't nothin' happenin', or the part where somethin' happenin'"
in world cinema ,in world cinema
very good viewing alternative ,real good watchin' option
"the plot is nothing but boilerplate clichés from start to finish , ",the plot ain't nothin' but boilerplate clichés from start to finish.
the action is stilted ,the action stiff
on all cylinders ,on all cylinders
"will find little of interest in this film , which is often preachy and poorly acted ","ain't gon find much to like in this movie, it be preachy and acted bad"
by far the worst movie of the year ,by far the worst movie of the year
"sit through , ","Sit through,"
more than another `` best man '' clone by weaving a theme throughout this funny film ,mo' than anotha best man clone by weavin' a theme throughout this funny film
it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline ,It 'bout issues most grown folks gotta face in marriage and I think that's what I liked 'bout it -- the real issues tucked 'tween the silly and crude storyline.
heroes ,Heroes
oblivious to the existence of this film ,ain't know 'bout this movie
sharply ,I ain't get it
"the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . ","Da whole point of a shaggy dog story, of course, is that it don't go nowhere, and dis is classic nowheresville in every sense."
sometimes dry ,Sometime it be dry
"as they come , already having been recycled more times than i 'd care to count ","as they come, already been recycled more times than I care to count"
"covers this territory with wit and originality , suggesting that with his fourth feature ","cover dis territory wit wit and originality, suggestin' dat wit his fourth feature"
a $ 40 million version of a game ,a $40 million version of a game
gorgeous and deceptively minimalist ,fine and slick minimalist
cross swords with the best of them and ,throw down with the best of them
as a fringe feminist conspiracy theorist ,as a fringe feminist conspiracy theorist
disappointments ,Disappointments
the horrors ,the horrors
a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . ,a mess splashed with bloody beauty as bright as any Scorsese ever showed us.
many pointless ,mad pointless
a beautifully ,a beautifully
"contrived , well-worn situations ","played out, tired situations"
a doa ,I don't know.
to be as subtle and touching as the son 's room ,to be as subtle and touching as the son's room
starts with a legend ,start off with a legend
far less sophisticated and ,way less sophisticated and
rich veins of funny stuff in this movie ,rich veins of funny stuff in this movie in AAVE would be lotta funny stuff in dis movie
no apparent joy ,ain't no joy evident
shot on ugly digital video ,shot on ugly digital video
... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? '' ,... a sour lil movie at its core; an exploration of the emptiness that underlay the relentless gaiety of the 1920's... the film's ending got a ``what was it all for?''
"though ford and neeson capably hold our interest , but its just not a thrilling movie ","Ford and Neeson keep us interested, but it just ain't a thrilling movie."
is pretty damned funny . ,be pretty damned funny.
we never feel anything for these characters ,We don't ever feel nothing for these characters.
's a lousy one at that ,It's a lousy one at that
the corporate circus that is the recording industry in the current climate of mergers and downsizing ,the corporate circus that be the recording industry in this here climate of mergers and downsizing
"the storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome . ","the storylines be woven together skilfully, them magnificent swooping aerial shots be breathtaking, and the overall experience be awesome."
"sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . ","sound like some cold game played by dudes wit lil smarts, wit old-school thoughts on women and zero empathy."
seem fresh ,lookin' fresh
to the dustbin of history ,to the trash bin of history
"as a director , eastwood is off his game ","As a director, Eastwood ain't on his game"
pays earnest homage to turntablists ,pays serious respect to turntablists
weak and ,I'm tired and hungry.
"skip this dreck , ","skip this mess,"
contains very few laughs and even less surprises ,got real few laughs and even fewer surprises
film to affirm love 's power to help people endure almost unimaginable horror ,Movie to show love got the power to help folks get through almost unimaginable horror.
are an absolute joy ,be a whole vibe
generates ,make
", like life , is n't much fun without the highs and lows ",", like life, ain't much fun without the highs and lows"
based on a true and historically significant story ,based on a true and important story from history
well-rounded tribute ,all-around props
", though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction . ",", though many of the actors throw off a spark or two when they first show up, they ain't able to make enough heat in this cold vacuum of a comedy to start a reaction."
so much like a young robert deniro ,so much like a young Robert DeNiro
"khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . ","Khouri handle it, with mad style, keepin' both the crazy comedy and deep family drama in one line."
fashioning an engrossing entertainment out ,makin' a captivatin' entertainment out
spiffy animated feature ,fly animated feature
that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer ,that's written and cast so sloppy you can't believe anyone more central to makin' Bugsy than the caterer.
"alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life ","switchin' up 'tween playin' funny comic parody an' pulp melodrama, dis smart-aleck movie ... throwin' 'round some deep questions 'bout the difference 'tween human an' android life"
strung-together moments ,moments strung together
", generous and subversive artworks ",", generous and subversive artworks"
"it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world ","It don't follow the same old, standard, connect-the-dots storyline that's common in movies 'bout the seamy side of the criminal world."
overbearing and over-the-top ,too much and doing the most
it 's robert duvall ! ,Dat's Robert Duvall!
rich and sudden wisdom ,rich and sudden wisdom
in memory ,In memory
respectable new one ,respectable new one
yet this grating showcase ,yet this grating showcase in AAVE would be but dis annoying display
hate to tear your eyes away from the images long enough to read the subtitles ,Hate to pull ya eyes off them pictures long enough to read them subtitles.
addition to sporting one of the worst titles in recent cinematic history ,"Plus, it got one of the worst titles in recent movie history."
", this gender-bending comedy is generally quite funny . ",This gender-bending comedy usually pretty funny.
do n't work in concert ,Don't work together
"the direction has a fluid , no-nonsense authority , and the performances by harris , phifer and cam ` ron seal the deal . ","the direction got a smooth, no-nonsense authority, and the performances by Harris, Phifer, and Cam'ron seal the deal."
would have liked it more if it had just gone that one step further ,woulda liked it more if it had just gone that one step further
"it 's too harsh to work as a piece of storytelling , ","it too harsh to work as a piece of storytelling,"
hawaiian shirt ,Hawaiian shirt
"takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch . ","take a classic story, put in some fine and skilled actors, and use a beautiful scenery to make a movie that's mad fun to watch."
provide its keenest pleasures ,give its dopest joys
altogether too slight to be called any kind of masterpiece ,way too slight to be called any kinda masterpiece
grievous but ,Grievous but
"after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your car in the parking lot . ","After you laugh once (maybe twice), you gon' forget the movie by the time you get back to yo' car in the parking lot."
hopeless ,Ain't got no hope
"unpretentious , charming , quirky , original ","down-to-earth, cute, different, unique"
nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try . ,Nicks and Steinberg match they own creations for pure greediness -- that's really tryna do they best.
very well-written and very well-acted . ,real well-written and real well-acted.
are n't many conclusive answers in the film ,Ain't many conclusive answers in the film
"clumsy dialogue , heavy-handed phoney-feeling sentiment , ","clumsy talk, heavy-handed fake-feeling feelings,"
"proves a lovely trifle that , unfortunately , is a little too in love with its own cuteness . ","show a cute lil' thing that, sadly, be too caught up in its own cuteness."
bring tissues . ,bring some tissues.
the film 's mid-to-low budget is betrayed by the surprisingly shoddy makeup work . ,the film mid-to-low budget show through 'cause the makeup work look mad shoddy.
brings the proper conviction to his role as ( jason bourne ) . ,bring the right conviction to his role as (Jason Bourne).
"as a young woman of great charm , generosity and diplomacy ","as a young woman wit a lot of charm, generosity, and know-how in handling people"
there 's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us . ,"It's somethin' deep when a 90-sumthin' year old artist be puttin' in that work to share his views on life, loss, time, and art with us."
just too silly ,Jus' too silly
cinematic bon bons ,movie treats
it is supremely unfunny and unentertaining to watch middle-age and ,it deadass ain't funny or entertaining watchin' middle-age and
