se question,aave qustion,actual answer,se passage,se answer,aave passage,aave answer,aave question
do iran and afghanistan speak the same language,Do Iran and Afghanistan speak the same language?,True,"Persian language -- Persian (/ˈpɜːrʒən, -ʃən/), also known by its endonym Farsi (فارسی fārsi (fɒːɾˈsiː) ( listen)), is one of the Western Iranian languages within the Indo-Iranian branch of the Indo-European language family. It is primarily spoken in Iran, Afghanistan (officially known as Dari since 1958), and Tajikistan (officially known as Tajiki since the Soviet era), and some other regions which historically were Persianate societies and considered part of Greater Iran. It is written in the Persian alphabet, a modified variant of the Arabic script, which itself evolved from the Aramaic alphabet.",True,"Farsi language -- Farsi, also called Persian, is a type of Western Iranian language that's part of the Indo-European family. Folks mainly speak it in Iran, Afghanistan (where they call it Dari since 1958), and Tajikistan (they been callin' it Tajiki since back in the Soviet days). It's also spoken in some other areas that used to be all about Persian culture, places they consider part of Greater Iran. Farsi is written using the Persian alphabet, which is like a tweaked version of the Arabic script, and that script came from the Aramaic alphabet.",True,
do good samaritan laws protect those who help at an accident,do good samaritan laws got yo back if you help out at an accident?,True,"Good Samaritan law -- Good Samaritan laws offer legal protection to people who give reasonable assistance to those who are, or who they believe to be, injured, ill, in peril, or otherwise incapacitated. The protection is intended to reduce bystanders' hesitation to assist, for fear of being sued or prosecuted for unintentional injury or wrongful death. An example of such a law in common-law areas of Canada: a good Samaritan doctrine is a legal principle that prevents a rescuer who has voluntarily helped a victim in distress from being successfully sued for wrongdoing. Its purpose is to keep people from being reluctant to help a stranger in need for fear of legal repercussions should they make some mistake in treatment. By contrast, a duty to rescue law requires people to offer assistance and holds those who fail to do so liable.",True,"Good Samaritan law -- Good Samaritan laws give legal backup to folks who step up to help others who look hurt, sick, in danger, or can't help themselves. These laws are there to make sure people ain't scared to help out, worrying they might get sued or face charges if they accidentally cause harm or someone dies. For instance, up in Canada, the Good Samaritan rule is a legal thing that says if you willingly help someone in trouble, you can't be taken to court for messing up. It's all about making sure people don't hesitate to lend a hand to a stranger in need because they're scared of getting into legal trouble if they don't do everything perfect. On the flip side, a duty to rescue law says you gotta help out, and if you don't, you could be held responsible.",True,
is windows movie maker part of windows essentials,"Windows Movie Maker, it part of Windows Essentials?",True,"Windows Movie Maker -- Windows Movie Maker (formerly known as Windows Live Movie Maker in Windows 7) is a discontinued video editing software by Microsoft. It is a part of Windows Essentials software suite and offers the ability to create and edit videos as well as to publish them on OneDrive, Facebook, Vimeo, YouTube, and Flickr.",True,"Windows Movie Maker -- Windows Movie Maker, what used to be called Windows Live Movie Maker when Windows 7 was around, ain't available no more. It was a part of the Windows Essentials software suite. This program let you make and edit videos, and you could even post 'em straight to OneDrive, Facebook, Vimeo, YouTube, and Flickr.",True,
is confectionary sugar the same as powdered sugar,Is confectionary sugar the same as powdered sugar?,True,"Powdered sugar -- Powdered sugar, also called confectioners' sugar, icing sugar, and icing cake, is a finely ground sugar produced by milling granulated sugar into a powdered state. It usually contains a small amount of anti-caking agent to prevent clumping and improve flow. Although most often produced in a factory, powdered sugar can also be made by processing ordinary granulated sugar in a coffee grinder, or by crushing it by hand in a mortar and pestle.",True,"Powdered sugar -- Y'all know powdered sugar, right? Folks also call it confectioners' sugar, icing sugar, and icing cake. It's just sugar ground up real fine. They throw in a lil' bit of anti-caking agent to keep it from sticking together and to make it smooth. Most times, it's made in a big ol' factory, but you can whip it up at home too. Just take some regular sugar and grind it up in a coffee grinder, or you can even mash it up with a mortar and pestle if you feelin' old school.",True,
is elder scrolls online the same as skyrim,"Elder Scrolls Online and Skyrim, they the same game or nah?",False,"The Elder Scrolls Online -- As with other games in The Elder Scrolls series, the game is set on the continent of Tamriel. The events of the game occur a millennium before those of The Elder Scrolls V: Skyrim and around 800 years before The Elder Scrolls III: Morrowind and The Elder Scrolls IV: Oblivion. It has a broadly similar structure to Skyrim, with two separate conflicts progressing at the same time, one with the fate of the world in the balance, and one where the prize is supreme power on Tamriel. In The Elder Scrolls Online, the first struggle is against the Daedric Prince Molag Bal, who is attempting to meld the plane of Mundus with his realm of Coldharbour, and the second is to capture the vacant imperial throne, contested by three alliances of the mortal races. The player character has been sacrificed to Molag Bal, and Molag Bal has stolen their soul, the recovery of which is the primary game objective.",False,"The Elder Scrolls Online -- So, this game, like the others in The Elder Scrolls series, it's set on the continent of Tamriel, right? Now, all this goes down a thousand years before what happened in The Elder Scrolls V: Skyrim, and 'bout 800 years before what went down in The Elder Scrolls III: Morrowind and The Elder Scrolls IV: Oblivion. It's kinda set up like Skyrim, with two big issues going on at the same time: one's about saving the world, and the other's about grabbing ultimate power in Tamriel. In The Elder Scrolls Online, you first gotta deal with this bad dude, the Daedric Prince Molag Bal. He's tryna merge the plane of Mundus with his own spot, Coldharbour. The second fight is all about who's gonna sit on the empty imperial throne, with three groups of folks battling it out. Now, here's the twist: the player, that's you, got sacrificed to Molag Bal, and this fool went and stole your soul. Getting your soul back? That's your main mission in the game.",False,
can you use oyster card at epsom station,can you use yo oyster card at epsom station?,False,Epsom railway station -- Epsom railway station serves the town of Epsom in Surrey. It is located off Waterloo Road and is less than two minutes' walk from the High Street. It is not in the London Oyster card zone unlike Epsom Downs or Tattenham Corner stations. The station building was replaced in 2012/2013 with a new building with apartments above the station (see end of article).,False,Epsom railway station -- Epsom railway station be servin' the town of Epsom in Surrey. It's sittin' off Waterloo Road and less than two minutes' walk from the High Street. It ain't in the London Oyster card zone like Epsom Downs or Tattenham Corner stations. They swapped out the old station building in 2012/2013 for a new one with apartments above the station (check the end of the article).,False,
will there be a season 4 of da vinci's demons,they gon' drop a season 4 of da vinci's demons or what?,False,"Da Vinci's Demons -- The series premiered in the United States on Starz on 12 April 2013, and its second season premiered on 22 March 2014. The series was renewed for a third season, which premiered on 24 October 2015. On 23 July 2015, Starz announced that the third season would be the show's last. However Goyer has left it open for a miniseries return.",False,"Da Vinci's Demons -- This show first hit the screens in the United States on Starz on April 12, 2013, and its second season dropped on March 22, 2014. They went ahead and renewed it for a third season, which came out on October 24, 2015. Then on July 23, 2015, Starz let everybody know that the third season gon' be the last one for the series. But yo, Goyer still left the door open for it to come back as a miniseries.",False,
is the federal court the same as the supreme court,"Nah, the federal court ain't the same as the Supreme Court, fam. What's up?",False,"Federal judiciary of the United States -- The federal courts are composed of three levels of courts. The Supreme Court of the United States is the court of last resort. It is generally an appellate court that operates under discretionary review, which means that the Court can choose which cases to hear, by granting writs of certiorari. There is therefore generally no basic right of appeal that extends automatically all the way to the Supreme Court. In a few situations (like lawsuits between state governments or some cases between the federal government and a state) it sits as a court of original jurisdiction.",False,"U.S. Federal Courts -- Aight, so the federal courts got like three levels. At the top, you got the Supreme Court, that's the big boss court. It mostly handles appeals, but it gets to pick which cases it wanna hear by giving out these things called writs of certiorari. So basically, you ain't guaranteed no automatic right to take your case all the way up there. Now, in some rare cases (like when state governments are beefing or some issues between the federal government and a state), the Supreme Court is the first one to handle it.",True,
did abraham lincoln write the letter in saving private ryan,"Nah, Abraham Lincoln ain't write that letter in ""Saving Private Ryan."" The letter read in the movie was inspired by the Bixby letter, which is often attributed to Lincoln, but it was written specifically for the film.",True,"Bixby letter -- In the 1998 war film Saving Private Ryan, General George Marshall (played by Harve Presnell) reads the Bixby letter to his officers before giving the order to find and send home Private James Francis Ryan after Ryan's three brothers died in battle.",False,"Bixby letter -- In that 1998 war movie Saving Private Ryan, General George Marshall (played by Harve Presnell) reads out the Bixby letter to his officers before he give the order to go find and bring back Private James Francis Ryan after Ryan’s three brothers died in battle.",False,
is batman and robin a sequel to batman forever,"Is ""Batman and Robin"" the sequel to ""Batman Forever""?",True,"Batman & Robin (film) -- With the box office success of Batman Forever in June 1995, Warner Bros. immediately commissioned a sequel. They hired director Joel Schumacher and writer Akiva Goldsman to reprise their duties the following August, and decided it was best to fast track production for a June 1997 target release date, which is a break from the usual 3-year gap between films. Schumacher wanted to homage both the broad camp style of the 1960s television series and the work of Dick Sprang. The storyline of Batman & Robin was conceived by Schumacher and Goldsman during pre-production on A Time to Kill. Portions of Mr. Freeze's back-story were based on the Batman: The Animated Series episode ``Heart of Ice'', written by Paul Dini.",True,"Batman & Robin (film) -- After Batman Forever killed it at the box office in June 1995, Warner Bros. didn't waste no time and got straight to work on a sequel. They brought back Joel Schumacher as director and Akiva Goldsman as the writer that next August, and decided to speed things up for a June 1997 release, breaking away from the usual three-year wait between movies. Schumacher was tryna pay respects to the old-school campy vibe from the 1960s TV show and Dick Sprang's work. They cooked up the plot for Batman & Robin while they were still working on A Time to Kill. They even pulled some of Mr. Freeze's backstory from the Batman: The Animated Series episode Heart of Ice, penned by Paul Dini.",True,
is a wolverine the same as a badger,"A wolverine, is it the same as a badger?",False,"Badger -- Badgers are short-legged omnivores in the family Mustelidae, which also includes the otters, polecats, weasels, and wolverines. They belong to the caniform suborder of carnivoran mammals. The 11 species of badgers are grouped in three subfamilies: Melinae (Eurasian badgers), Mellivorinae (the honey badger or ratel), and Taxideinae (the American badger). The Asiatic stink badgers of the genus Mydaus were formerly included within Melinae (and thus Mustelidae), but recent genetic evidence indicates these are actually members of the skunk family, placing them in the taxonomic family Mephitidae.",False,"Badger -- Badgers be short-legged omnivores from the Mustelidae fam, which also got otters, polecats, weasels, and wolverines. These creatures be part of the caniform suborder of carnivoran mammals. There's 11 species of badgers split into three subfamilies: Melinae (Eurasian badgers), Mellivorinae (dat honey badger or ratel), and Taxideinae (the American badger). The Asiatic stink badgers from the genus Mydaus used to be counted with Melinae (so, Mustelidae), but new genetic proof show they actually part of the skunk fam, which puts them in the Mephitidae taxonomic family.",False,
will there be a green lantern 2 movie,they finna make a Green Lantern 2 movie or nah?,False,"Green Lantern (film) -- Green Lantern was released on June 17, 2011, and received generally negative reviews; most criticized the film for its screenplay, inconsistent tone, choice and portrayal of villains, and its use of CGI, while some praised Reynolds' performance. Reynolds would later voice his dissatisfaction with the film. The film underperformed at the box office, grossing $219 million against a production budget of $200 million. Due to the film's negative reception and disappointing box office performance, Warner Bros. canceled any plans for a sequel, instead opting to reboot the character in the DC Extended Universe line with the film Green Lantern Corps, set for release in 2020.",False,"Green Lantern (movie) -- Green Lantern dropped on June 17, 2011, but it ain't get much love from the critics; most folks was bashing it for its script, how it was all over the place, how they handled the bad guys, and the heavy CGI. Some did give props to Reynolds' acting though. Reynolds himself wasn’t too happy with how it turned out. At the box office, it didn’t do too hot, pulling in just $219 million on a $200 million budget. Cause of the rough feedback and weak box office numbers, Warner Bros. scrapped any ideas for a follow-up. Instead, they decided to give the character a fresh start in the DC Extended Universe with the movie Green Lantern Corps, which was supposed to come out in 2020.",False,
does the icc has jurisdiction in the united states,do the ICC got jurisdiction in the United States?,False,"United States and the International Criminal Court -- The United States should have the chance to observe and assess the functioning of the court, over time, before choosing to become subject to its jurisdiction. Given these concerns, I will not, and do not recommend that my successor, submit the treaty to the Senate for advice and consent until our fundamental concerns are satisfied.",False,"US and the International Criminal Court — The US gotta take some time to watch and figure out how the court do its thing, before deciding to be under its rules. With these worries in mind, I ain't gonna, and I won't suggest my next in line, to bring the treaty to the Senate for approval 'til we good with everything.",False,
calcium carbide cac2 is the raw material for the production of acetylene,"Calcium carbide, CaC2, be the raw stuff fo' makin' acetylene.",True,Calcium carbide -- Calcium carbide is a chemical compound with the chemical formula of CaC. Its main use industrially is in the production of acetylene and calcium cyanamide.,True,Calcium carbide -- Calcium carbide be a chemical compound wit' the chemical formula of CaC. Its main use in industry be in makin' acetylene and calcium cyanamide.,True,
