,Original,Translated,Original Sentiment,SE Sentiment,AAVE Sentiment,SE Correct,AAVE Correct
0,hide new secretions from the parental units ,hide new secrets from yo folks,Negative,Negative,Negative,1,1
1,"contains no wit , only labored gags ","ain't got no wit, just forced jokes",Negative,Negative,Negative,1,1
2,that loves its characters and communicates something rather beautiful about human nature ,dat love its characters and say somethin' real beautiful 'bout human nature,Negative,Positive,Positive,0,0
4,on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,on the worst revenge-of-the-nerds clichés the filmmakers could dredge up,Negative,Negative,Negative,1,1
5,that 's far too tragic to merit such superficial treatment ,dat's way too tragic to be gettin' all that shallow treatment,Negative,Negative,Negative,1,1
6,"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ","show that the director of big movies like Patriot Games still can make a small, personal movie with a strong emotional impact.",Negative,Positive,Positive,0,0
8,a depressed fifteen-year-old 's suicidal poetry ,a depressed fifteen-year-old's suicidal poetry,Negative,Negative,Negative,1,1
9,are more deeply thought through than in most ` right-thinking ' films ,be thought 'bout deeper than in most 'right-thinking' films,Negative,Positive,Positive,0,0
10,goes to absurd lengths ,do the most,Negative,Negative,Positive,1,0
11,for those moviegoers who complain that ` they do n't make movies like they used to anymore ,Fo' dem folks who be watchin' movies and complainin' that they don't make movies like they used to no mo',Negative,Negative,Negative,1,1
12,"the part where nothing 's happening , ","the part where ain't nothin' happenin',",Negative,Negative,Negative,1,1
13,saw how bad this movie was ,Seen how bad this movie was,Negative,Negative,Negative,1,1
14,lend some dignity to a dumb story ,Give some respect to a stupid story.,Negative,Negative,Negative,1,1
15,the greatest musicians ,the coldest musicians,Negative,Positive,Negative,0,1
29,"the plot is nothing but boilerplate clichés from start to finish , ",the plot ain't nothin' but boilerplate clichés from start to finish.,Negative,Negative,Negative,1,1
30,the action is stilted ,the action stiff,Negative,Negative,Negative,1,1
31,on all cylinders ,on all cylinders,Negative,Positive,Positive,0,0
32,"will find little of interest in this film , which is often preachy and poorly acted ","ain't gon find much to like in this movie, it be preachy and acted bad",Negative,Negative,Negative,1,1
33,by far the worst movie of the year ,by far the worst movie of the year,Negative,Negative,Negative,1,1
35,more than another `` best man '' clone by weaving a theme throughout this funny film ,mo' than anotha best man clone by weavin' a theme throughout this funny film,Negative,Positive,Positive,0,0
36,it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline ,It 'bout issues most grown folks gotta face in marriage and I think that's what I liked 'bout it -- the real issues tucked 'tween the silly and crude storyline.,Negative,Positive,Positive,0,0
37,heroes ,Heroes,Negative,Positive,Positive,0,0
38,oblivious to the existence of this film ,ain't know 'bout this movie,Negative,Negative,Negative,1,1
40,"the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . ","Da whole point of a shaggy dog story, of course, is that it don't go nowhere, and dis is classic nowheresville in every sense.",Negative,Negative,Negative,1,1
42,"as they come , already having been recycled more times than i 'd care to count ","as they come, already been recycled more times than I care to count",Negative,Negative,Negative,1,1
43,"covers this territory with wit and originality , suggesting that with his fourth feature ","cover dis territory wit wit and originality, suggestin' dat wit his fourth feature",Negative,Positive,Positive,0,0
45,gorgeous and deceptively minimalist ,fine and slick minimalist,Negative,Positive,Positive,0,0
46,cross swords with the best of them and ,throw down with the best of them,Negative,Positive,Positive,0,0
47,as a fringe feminist conspiracy theorist ,as a fringe feminist conspiracy theorist,Negative,Negative,Negative,1,1
49,disappointments ,Disappointments,Negative,Negative,Negative,1,1
50,the horrors ,the horrors,Negative,Negative,Negative,1,1
51,a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . ,a mess splashed with bloody beauty as bright as any Scorsese ever showed us.,Negative,Positive,Positive,0,0
52,many pointless ,mad pointless,Negative,Negative,Negative,1,1
53,a beautifully ,a beautifully,Negative,Positive,Positive,0,0
79,film to affirm love 's power to help people endure almost unimaginable horror ,Movie to show love got the power to help folks get through almost unimaginable horror.,Negative,Positive,Positive,0,0
80,are an absolute joy ,be a whole vibe,Negative,Positive,Positive,0,0
82,", like life , is n't much fun without the highs and lows ",", like life, ain't much fun without the highs and lows",Negative,Positive,Positive,0,0
83,based on a true and historically significant story ,based on a true and important story from history,Negative,Positive,Positive,0,0
84,well-rounded tribute ,all-around props,Negative,Positive,Positive,0,0
85,", though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction . ",", though many of the actors throw off a spark or two when they first show up, they ain't able to make enough heat in this cold vacuum of a comedy to start a reaction.",Negative,Negative,Negative,1,1
86,so much like a young robert deniro ,so much like a young Robert DeNiro,Negative,Positive,Positive,0,0
87,"khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . ","Khouri handle it, with mad style, keepin' both the crazy comedy and deep family drama in one line.",Negative,Positive,Positive,0,0
88,fashioning an engrossing entertainment out ,makin' a captivatin' entertainment out,Negative,Positive,Positive,0,0
90,that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer ,that's written and cast so sloppy you can't believe anyone more central to makin' Bugsy than the caterer.,Negative,Negative,Negative,1,1
91,"alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life ","switchin' up 'tween playin' funny comic parody an' pulp melodrama, dis smart-aleck movie ... throwin' 'round some deep questions 'bout the difference 'tween human an' android life",Negative,Positive,Positive,0,0
93,", generous and subversive artworks ",", generous and subversive artworks",Negative,Positive,Positive,0,0
94,"it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world ","It don't follow the same old, standard, connect-the-dots storyline that's common in movies 'bout the seamy side of the criminal world.",Negative,Positive,Positive,0,0
95,funny yet ,Funny fr fr,Negative,Positive,Positive,0,0
96,overbearing and over-the-top ,too much and doing the most,Negative,Negative,Negative,1,1
97,it 's robert duvall ! ,Dat's Robert Duvall!,Negative,Positive,Positive,0,0
98,rich and sudden wisdom ,rich and sudden wisdom,Negative,Positive,Positive,0,0
99,"acted and directed , it 's clear that washington most certainly has a new career ahead of him ","acted and directed, it's clear that washington definitely got a new career ahead of him",Negative,Positive,Positive,0,0
101,respectable new one ,respectable new one,Negative,Positive,Positive,0,0
102,yet this grating showcase ,yet this grating showcase in AAVE would be but dis annoying display,Negative,Negative,Negative,1,1
131,it is supremely unfunny and unentertaining to watch middle-age and ,it deadass ain't funny or entertaining watchin' middle-age and,Negative,Negative,Negative,1,1
132,a lively and engaging examination of how similar obsessions can dominate a family . ,a lively and engaging look at how the same fixations can take over a family.,Negative,Positive,Positive,0,0
133,irritates and ,It irks me.,Negative,Negative,Negative,1,1
134,collapse ,I'm finna pass out,Negative,Negative,Negative,1,1
