Original,Translated,Original Sentiment,SE Sentiment,AAVE Sentiment,SE Correct Existing,AAVE Correct Existing,SE Correct New,AAVE Correct New
hide new secretions from the parental units ,hide new secrets from yo folks,Negative,Negative,Negative,1,1,1,1
"contains no wit , only labored gags ","ain't got no wit, just forced jokes",Negative,Negative,Negative,1,1,1,1
that loves its characters and communicates something rather beautiful about human nature ,dat love its characters and say somethin' real beautiful 'bout human nature,Positive,Positive,Positive,1,1,1,1
remains utterly satisfied to remain the same throughout ,stay completely satisfied to stay the same throughout,Negative,Positive,Positive,1,0,0,0
on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,on the worst revenge-of-the-nerds clichés the filmmakers could dredge up,Negative,Negative,Negative,1,1,1,1
that 's far too tragic to merit such superficial treatment ,dat's way too tragic to be gettin' all that shallow treatment,Negative,Negative,Negative,1,1,1,1
"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ","show that the director of big movies like Patriot Games still can make a small, personal movie with a strong emotional impact.",Positive,Positive,Positive,1,1,1,1
of saucy ,of saucy,Positive,Negative,Negative,0,1,0,0
a depressed fifteen-year-old 's suicidal poetry ,a depressed fifteen-year-old's suicidal poetry,Negative,Negative,Negative,1,1,1,1
are more deeply thought through than in most ` right-thinking ' films ,be thought 'bout deeper than in most 'right-thinking' films,Positive,Positive,Positive,1,1,1,1
goes to absurd lengths ,do the most,Negative,Negative,Positive,1,0,1,0
for those moviegoers who complain that ` they do n't make movies like they used to anymore ,Fo' dem folks who be watchin' movies and complainin' that they don't make movies like they used to no mo',Negative,Negative,Negative,1,1,1,1
"the part where nothing 's happening , ","the part where ain't nothin' happenin',",Negative,Negative,Negative,1,1,1,1
saw how bad this movie was ,Seen how bad this movie was,Negative,Negative,Negative,1,1,1,1
lend some dignity to a dumb story ,Give some respect to a stupid story.,Negative,Positive,Negative,1,1,0,1
the greatest musicians ,the coldest musicians,Positive,Positive,Negative,1,0,1,0
cold movie ,Dat movie cold,Negative,Negative,Positive,1,0,1,0
with his usual intelligence and subtlety ,with his usual smarts and slickness,Positive,Positive,Positive,1,1,1,1
redundant concept ,redundant concept,Negative,Negative,Negative,1,1,1,1
"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . ","Swimming mostly 'bout a young woman's face, and by picking a actress whose face show them woman's doubts and yearnings, it do good.",Positive,Positive,Positive,1,1,1,1
equals the original and in some ways even betters it ,equal the original and in some ways even better it,Positive,Positive,Positive,1,1,1,1
"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ","if anything, check it out fo' Karen Black, who go all out as a wild feminist conspiracy theorist named Dirty Dick.",Positive,Positive,Positive,0,1,1,1
a smile on your face ,a smile on yo face,Positive,Positive,Positive,1,1,1,1
"comes from the brave , uninhibited performances ","come from the brave, uninhibited performances",Positive,Positive,Positive,1,1,1,1
excruciatingly unfunny and pitifully unromantic ,painfully unfunny and sad unromantic,Negative,Negative,Negative,1,1,1,1
enriched by an imaginatively mixed cast of antic spirits ,enriched by a creatively mixed group of wild spirits,Positive,Positive,Positive,1,1,1,1
"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ","which half of dragonfly worse: the part where ain't nothin' happenin', or the part where somethin' happenin'",Negative,Negative,Negative,1,1,1,1
in world cinema ,in world cinema,Positive,Neutral,Neutral,1,1,0,0
very good viewing alternative ,real good watchin' option,Positive,Positive,Positive,1,1,1,1
"the plot is nothing but boilerplate clichés from start to finish , ",the plot ain't nothin' but boilerplate clichés from start to finish.,Negative,Negative,Negative,1,1,1,1
the action is stilted ,the action stiff,Negative,Negative,Negative,1,1,1,1
on all cylinders ,on all cylinders,Positive,Positive,Positive,1,1,1,1
"will find little of interest in this film , which is often preachy and poorly acted ","ain't gon find much to like in this movie, it be preachy and acted bad",Negative,Negative,Negative,1,1,1,1
by far the worst movie of the year ,by far the worst movie of the year,Negative,Negative,Negative,1,1,1,1
"sit through , ","Sit through,",Negative,Negative,Negative,1,1,1,1
more than another `` best man '' clone by weaving a theme throughout this funny film ,mo' than anotha best man clone by weavin' a theme throughout this funny film,Positive,Positive,Positive,1,1,1,1
it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline ,It 'bout issues most grown folks gotta face in marriage and I think that's what I liked 'bout it -- the real issues tucked 'tween the silly and crude storyline.,Positive,Positive,Positive,1,1,1,1
heroes ,Heroes,Positive,Positive,Positive,1,1,1,1
oblivious to the existence of this film ,ain't know 'bout this movie,Negative,Negative,Negative,1,1,1,1
sharply ,I ain't get it,Positive,Negative,Negative,0,0,0,0
"the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . ","Da whole point of a shaggy dog story, of course, is that it don't go nowhere, and dis is classic nowheresville in every sense.",Negative,Negative,Negative,1,1,1,1
sometimes dry ,Sometime it be dry,Negative,Negative,Positive,1,1,1,0
"as they come , already having been recycled more times than i 'd care to count ","as they come, already been recycled more times than I care to count",Negative,Negative,Negative,1,1,1,1
"covers this territory with wit and originality , suggesting that with his fourth feature ","cover dis territory wit wit and originality, suggestin' dat wit his fourth feature",Positive,Positive,Positive,1,1,1,1
a $ 40 million version of a game ,a $40 million version of a game,Negative,Negative,Positive,0,0,1,0
gorgeous and deceptively minimalist ,fine and slick minimalist,Positive,Positive,Positive,1,1,1,1
cross swords with the best of them and ,throw down with the best of them,Positive,Positive,Positive,1,1,1,1
as a fringe feminist conspiracy theorist ,as a fringe feminist conspiracy theorist,Negative,Negative,Negative,1,1,1,1
"proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film . ","show once again he ain't lost his touch, pullin' off a superb performance in a film that's alright at best.",Positive,Positive,Positive,1,1,1,1
disappointments ,Disappointments,Negative,Negative,Negative,1,1,1,1
the horrors ,the horrors,Negative,Negative,Negative,1,1,1,1
a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . ,a mess splashed with bloody beauty as bright as any Scorsese ever showed us.,Positive,Positive,Positive,1,0,1,1
many pointless ,mad pointless,Negative,Negative,Negative,1,1,1,1
a beautifully ,a beautifully,Positive,Positive,Positive,1,1,1,1
"contrived , well-worn situations ","played out, tired situations",Negative,Negative,Negative,1,1,1,1
a doa ,I don't know.,Negative,Negative,Negative,1,1,1,1
