Premise Reference,Premise Hypothesis,Choice1 Reference,Choice1 Hypothesis,Choice2 Reference,Choice2 Hypothesis,Premise BLEU_score,Choice1 BLEU_score,Choice2 BLEU_score,Premise BLEU_score_under_10,Premise BLEU_score_under_20,Premise BLEU_score_under_30,Premise BLEU_score_under_50,Premise BLEU_score_under_70,Choice1 BLEU_score_under_10,Choice1 BLEU_score_under_20,Choice1 BLEU_score_under_30,Choice1 BLEU_score_under_50,Choice1 BLEU_score_under_70,Choice2 BLEU_score_under_10,Choice2 BLEU_score_under_20,Choice2 BLEU_score_under_30,Choice2 BLEU_score_under_50,Choice2 BLEU_score_under_70
the man turned on the faucet.,the man turned on the faucet.,the toilet filled with water.,the toilet filled up with water.,water flowed from the spout.,water was flowin' from the spout.,100.00000000000004,41.11336169005196,43.47208719449914,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
the girl found a bug in her cereal.,da girl found a bug in her cereal.,she poured milk in the bowl.,she poured milk in the bowl.,she lost her appetite.,she ain't hungry no more.,86.33400213704509,100.00000000000004,9.652434877402245,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
the woman retired.,the woman retired.,she received her pension.,she got her pension.,she paid off her mortgage.,she paid off her mortgage.,100.00000000000004,42.72870063962342,100.00000000000004,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
i wanted to conserve energy.,i wanted to save energy.,i swept the floor in the unoccupied room.,i swept the floor in the empty room.,i shut off the light in the unoccupied room.,i turned off the light in the empty room.,37.99178428257963,66.06328636027612,46.713797772819994,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1
the hamburger meat browned.,da hamburger meat browned.,the cook froze it.,da cook froze it.,the cook grilled it.,da cook grilled it.,66.87403049764218,66.87403049764218,66.87403049764218,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
i doubted the salesman's pitch.,i ain't trust that salesman's pitch.,i turned his offer down.,i turned his offer down.,he persuaded me to buy the product.,he talked me into buyin' the product.,26.269098944241588,100.00000000000004,23.356898886410015,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1
i decided to stay home for the night.,i decided to stay home for the night.,the forecast called for storms.,da forecast say it finna storm.,my friends urged me to go out.,my friends was pressin' me to go out.,100.00000000000004,7.809849842300637,51.33450480401705,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1
my eyes became red and puffy.,my eyes got red and puffy.,i was sobbing.,i was cryin'.,i was laughing.,i was crackin' up.,48.892302243490086,35.35533905932737,23.643540225079384,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1
the flame on the candle went out.,de flame on de candle went out.,i blew on the wick.,i blew on the wick.,i put a match to the wick.,i lit the wick.,41.11336169005198,100.00000000000004,23.4500081062036,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
the man drank heavily at the party.,the man was drankin' heavy at the party.,he had a headache the next day.,he had a headache the next day.,he had a runny nose the next day.,he had a runny nose the next day.,35.49481056010054,100.00000000000004,100.00000000000004,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
