Reference,Hypothesis,BLEU_score,BLEU_under_10,BLEU_under_20,BLEU_under_30,BLEU_under_50,BLEU_under_70
hide new secretions from the parental units ,hide new secrets from yo folks,15.207218222740094,0,1,1,1,1
"contains no wit , only labored gags ","ain't got no wit, just forced jokes",20.556680845025987,0,0,1,1,1
that loves its characters and communicates something rather beautiful about human nature ,dat love its characters and say somethin' real beautiful 'bout human nature,16.59038701421971,0,1,1,1,1
remains utterly satisfied to remain the same throughout ,stay completely satisfied to stay the same throughout,25.848657697858535,0,0,1,1,1
on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,on the worst revenge-of-the-nerds clichés the filmmakers could dredge up,100.00000000000004,0,0,0,0,0
that 's far too tragic to merit such superficial treatment ,dat's way too tragic to be gettin' all that shallow treatment,15.851165692617148,0,1,1,1,1
"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ","show that the director of big movies like patriot games still can make a small, personal movie with a strong emotional impact.",22.97888516430291,0,0,1,1,1
of saucy ,of saucy,100.00000000000004,0,0,0,0,0
a depressed fifteen-year-old 's suicidal poetry ,a depressed fifteen-year-old's suicidal poetry,24.736929544091932,0,0,1,1,1
are more deeply thought through than in most ` right-thinking ' films ,be thought 'bout deeper than in most 'right-thinking' films,14.448814886766836,0,1,1,1,1
goes to absurd lengths ,do the most,0.0,1,1,1,1,1
"the part where nothing 's happening , ","the part where ain't nothin' happenin',",26.269098944241588,0,0,1,1,1
saw how bad this movie was ,seen how bad this movie was,75.98356856515926,0,0,0,0,0
lend some dignity to a dumb story ,give some respect to a stupid story.,13.134549472120788,0,1,1,1,1
the greatest musicians ,the coldest musicians,34.66806371753173,0,0,0,1,1
cold movie ,dat movie cold,34.66806371753173,0,0,0,1,1
with his usual intelligence and subtlety ,with his usual smarts and slickness,32.46679154750991,0,0,0,1,1
redundant concept ,redundant concept,100.00000000000004,0,0,0,0,0
"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . ","swimming mostly 'bout a young woman's face, and by picking a actress whose face show them woman's doubts and yearnings, it do good.",26.67006729917242,0,0,1,1,1
"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ","if anything, check it out fo' karen black, who go all out as a wild feminist conspiracy theorist named dirty dick.",42.2938554232042,0,0,0,1,1
a smile on your face ,a smile on yo face,42.72870063962342,0,0,0,1,1
"comes from the brave , uninhibited performances ","come from the brave, uninhibited performances",80.91067115702207,0,0,0,0,0
excruciatingly unfunny and pitifully unromantic ,painfully unfunny and sad unromantic,23.643540225079384,0,0,1,1,1
enriched by an imaginatively mixed cast of antic spirits ,enriched by a creatively mixed group of wild spirits,11.99014838091355,0,1,1,1,1
"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ","which half of dragonfly worse: the part where ain't nothin' happenin', or the part where somethin' happenin'",45.6595068876277,0,0,0,1,1
in world cinema ,in world cinema,100.00000000000004,0,0,0,0,0
very good viewing alternative ,real good watchin' option,15.97357760615681,0,1,1,1,1
"the plot is nothing but boilerplate clichés from start to finish , ",the plot ain't nothin' but boilerplate clichés from start to finish.,57.067457770559976,0,0,0,0,1
the action is stilted ,the action stiff,39.43223765116288,0,0,0,1,1
on all cylinders ,on all cylinders,100.00000000000004,0,0,0,0,0
"will find little of interest in this film , which is often preachy and poorly acted ","ain't gon find much to like in this movie, it be preachy and acted bad",7.955891555490761,1,1,1,1,1
by far the worst movie of the year ,by far the worst movie of the year,100.00000000000004,0,0,0,0,0
"sit through , ","sit through,",100.00000000000004,0,0,0,0,0
more than another `` best man '' clone by weaving a theme throughout this funny film ,mo' than anotha best man clone by weavin' a theme throughout this funny film,35.7432105778219,0,0,0,1,1
it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline ,it 'bout issues most grown folks gotta face in marriage and i think that's what i liked 'bout it -- the real issues tucked 'tween the silly and crude storyline.,45.71858219135603,0,0,0,1,1
heroes ,heroes,100.00000000000004,0,0,0,0,0
oblivious to the existence of this film ,ain't know 'bout this movie,7.16047614494885,1,1,1,1,1
sharply ,i ain't get it,0.0,1,1,1,1,1
"the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . ","da whole point of a shaggy dog story, of course, is that it don't go nowhere, and dis is classic nowheresville in every sense.",68.70287465920563,0,0,0,0,1
sometimes dry ,sometime it be dry,15.97357760615681,0,1,1,1,1
"as they come , already having been recycled more times than i 'd care to count ","as they come, already been recycled more times than i care to count",61.68673431811785,0,0,0,0,1
"covers this territory with wit and originality , suggesting that with his fourth feature ","cover dis territory wit wit and originality, suggestin' dat wit his fourth feature",26.58483576665878,0,0,1,1,1
a $ 40 million version of a game ,a $40 million version of a game,100.00000000000004,0,0,0,0,0
gorgeous and deceptively minimalist ,fine and slick minimalist,18.99589214128981,0,1,1,1,1
cross swords with the best of them and ,throw down with the best of them,53.29462628216855,0,0,0,0,1
as a fringe feminist conspiracy theorist ,as a fringe feminist conspiracy theorist,100.00000000000004,0,0,0,0,0
disappointments ,disappointments,100.00000000000004,0,0,0,0,0
the horrors ,the horrors,100.00000000000004,0,0,0,0,0
a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . ,a mess splashed with bloody beauty as bright as any scorsese ever showed us.,35.404085389375965,0,0,0,1,1
many pointless ,mad pointless,49.99999999999999,0,0,0,1,1
a beautifully ,a beautifully,100.00000000000004,0,0,0,0,0
"contrived , well-worn situations ","played out, tired situations",12.703318703865365,0,1,1,1,1
a doa ,i don't know.,0.0,1,1,1,1,1
to be as subtle and touching as the son 's room ,to be as subtle and touching as the son's room,70.80735452207037,0,0,0,0,0
starts with a legend ,start off with a legend,39.76353643835252,0,0,0,1,1
far less sophisticated and ,way less sophisticated and,59.460355750136046,0,0,0,0,1
rich veins of funny stuff in this movie ,rich veins of funny stuff in this movie in aave would be lotta funny stuff in dis movie,38.8905561152711,0,0,0,1,1
no apparent joy ,ain't no joy evident,18.99589214128981,0,1,1,1,1
shot on ugly digital video ,shot on ugly digital video,100.00000000000004,0,0,0,0,0
