Reference,Hypothesis,BLEU_score,Gemini Pro SE Correct,Gemini Pro AAVE Correct,Gemini Flash SE Correct,Gemini Flash AAVE Correct,GPT4o SE Correct,GPT4o AAVE Correct,GPT4 SE Correct,GPT4 AAVE Correct,GPT3.5 SE Correct,GPT3.5 AAVE Correct
hide new secretions from the parental units ,hide new secrets from yo folks,15.207218222740094,1,1,1,1,1,1,1,1,1,1
"contains no wit , only labored gags ","ain't got no wit, just forced jokes",20.556680845025987,1,1,1,1,1,1,1,1,1,1
that loves its characters and communicates something rather beautiful about human nature ,dat love its characters and say somethin' real beautiful 'bout human nature,16.59038701421971,0,0,0,0,1,1,1,1,1,1
remains utterly satisfied to remain the same throughout ,stay completely satisfied to stay the same throughout,25.848657697858535,1,1,1,1,0,0,1,0,0,0
on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,on the worst revenge-of-the-nerds clichés the filmmakers could dredge up,100.00000000000004,1,1,1,1,1,1,1,1,1,1
that 's far too tragic to merit such superficial treatment ,dat's way too tragic to be gettin' all that shallow treatment,15.851165692617148,1,1,1,1,1,1,1,1,1,1
"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ","show that the director of big movies like patriot games still can make a small, personal movie with a strong emotional impact.",22.97888516430291,0,0,0,0,1,1,1,1,1,1
of saucy ,of saucy,100.00000000000004,1,1,1,1,0,0,0,1,0,0
a depressed fifteen-year-old 's suicidal poetry ,a depressed fifteen-year-old's suicidal poetry,24.736929544091932,1,1,1,1,1,1,1,1,1,1
are more deeply thought through than in most ` right-thinking ' films ,be thought 'bout deeper than in most 'right-thinking' films,14.448814886766836,0,0,0,0,1,0,1,1,1,1
goes to absurd lengths ,do the most,0.0,1,0,1,0,1,1,1,0,1,0
for those moviegoers who complain that ` they do n't make movies like they used to anymore ,fo' dem folks who be watchin' movies and complainin' that they don't make movies like they used to no mo',26.104909033290696,1,1,1,1,1,1,1,1,1,1
"the part where nothing 's happening , ","the part where ain't nothin' happenin',",26.269098944241588,1,1,1,1,1,1,1,1,1,1
saw how bad this movie was ,seen how bad this movie was,75.98356856515926,1,1,1,1,1,1,1,1,1,1
lend some dignity to a dumb story ,give some respect to a stupid story.,13.134549472120788,1,1,1,1,1,1,1,1,0,1
the greatest musicians ,the coldest musicians,34.66806371753173,0,1,0,1,1,0,1,0,1,0
cold movie ,dat movie cold,34.66806371753173,1,1,1,1,1,1,1,0,1,0
with his usual intelligence and subtlety ,with his usual smarts and slickness,32.46679154750991,0,0,0,0,1,1,1,1,1,1
redundant concept ,redundant concept,100.00000000000004,1,1,1,1,1,1,1,1,1,1
"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . ","swimming mostly 'bout a young woman's face, and by picking a actress whose face show them woman's doubts and yearnings, it do good.",26.67006729917242,0,0,0,0,1,1,1,1,1,1
equals the original and in some ways even betters it ,equal the original and in some ways even better it,66.06328636027612,0,0,0,0,1,1,1,1,1,1
"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ","if anything, check it out fo' karen black, who go all out as a wild feminist conspiracy theorist named dirty dick.",42.2938554232042,0,0,0,1,0,0,0,1,1,1
a smile on your face ,a smile on yo face,42.72870063962342,0,0,0,0,1,1,1,1,1,1
"comes from the brave , uninhibited performances ","come from the brave, uninhibited performances",80.91067115702207,0,0,0,0,1,1,1,1,1,1
excruciatingly unfunny and pitifully unromantic ,painfully unfunny and sad unromantic,23.643540225079384,1,1,1,1,1,1,1,1,1,1
enriched by an imaginatively mixed cast of antic spirits ,enriched by a creatively mixed group of wild spirits,11.99014838091355,0,0,0,0,1,1,1,1,1,1
"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ","which half of dragonfly worse: the part where ain't nothin' happenin', or the part where somethin' happenin'",45.6595068876277,1,1,1,1,1,1,1,1,1,1
in world cinema ,in world cinema,100.00000000000004,0,0,0,0,0,0,1,1,0,0
very good viewing alternative ,real good watchin' option,15.97357760615681,0,0,0,0,1,1,1,1,1,1
"the plot is nothing but boilerplate clichés from start to finish , ",the plot ain't nothin' but boilerplate clichés from start to finish.,57.067457770559976,1,1,1,1,1,1,1,1,1,1
the action is stilted ,the action stiff,39.43223765116288,1,1,1,1,1,1,1,1,1,1
on all cylinders ,on all cylinders,100.00000000000004,0,0,0,0,0,0,1,1,1,1
"will find little of interest in this film , which is often preachy and poorly acted ","ain't gon find much to like in this movie, it be preachy and acted bad",7.955891555490761,1,1,1,1,1,1,1,1,1,1
by far the worst movie of the year ,by far the worst movie of the year,100.00000000000004,1,1,1,1,1,1,1,1,1,1
"sit through , ","sit through,",100.00000000000004,1,1,1,1,1,1,1,1,1,1
more than another `` best man '' clone by weaving a theme throughout this funny film ,mo' than anotha best man clone by weavin' a theme throughout this funny film,35.7432105778219,0,0,0,0,1,1,1,1,1,1
it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline ,it 'bout issues most grown folks gotta face in marriage and i think that's what i liked 'bout it -- the real issues tucked 'tween the silly and crude storyline.,45.71858219135603,0,0,0,0,1,1,1,1,1,1
heroes ,heroes,100.00000000000004,0,0,0,0,1,0,1,1,1,1
oblivious to the existence of this film ,ain't know 'bout this movie,7.16047614494885,1,1,1,1,1,1,1,1,1,1
sharply ,i ain't get it,0.0,1,1,1,1,0,0,0,0,0,0
