Original Passage,Translated Passage,Original Question,Translated Question
"Good Samaritan law -- Good Samaritan laws offer legal protection to people who give reasonable assistance to those who are, or who they believe to be, injured, ill, in peril, or otherwise incapacitated. The protection is intended to reduce bystanders' hesitation to assist, for fear of being sued or prosecuted for unintentional injury or wrongful death. An example of such a law in common-law areas of Canada: a good Samaritan doctrine is a legal principle that prevents a rescuer who has voluntarily helped a victim in distress from being successfully sued for wrongdoing. Its purpose is to keep people from being reluctant to help a stranger in need for fear of legal repercussions should they make some mistake in treatment. By contrast, a duty to rescue law requires people to offer assistance and holds those who fail to do so liable.","Good Samaritan law -- Good Samaritan offer legal protection to persons give reasonable assistance to them are, or who-all believe to be, injured, ill, in peril, or otherwise incapacitate. The protection is intended to reduce bystanders hesitation to assist, for fear of being sued or prosecute for unintentional injury or wrongful death. An example of such a law in common-law areas of Canada: a good Samaritan doctrine a legal principle prevents a rescuer has done voluntarily help a victim in distress from being successfully sued for wrongdoing. Its purpose is to keep persons from being reluctant to help a stranger in need for fear of legal repercussions might should make some mistake in treatment. By contrast, a duty to rescue law does require persons to offer assistance and holds them fail to do so liable.",do good samaritan laws protect those who help at an accident,do good samaritan laws protect them is helping at an accident
"Windows Movie Maker -- Windows Movie Maker (formerly known as Windows Live Movie Maker in Windows 7) is a discontinued video editing software by Microsoft. It is a part of Windows Essentials software suite and offers the ability to create and edit videos as well as to publish them on OneDrive, Facebook, Vimeo, YouTube, and Flickr.","Windows Movie Maker -- Windows Movie Maker (formerly knew as Windows Live Movie Maker in Windows 7) a discontinued video editing software by Microsoft. Em a part of Windows Essentials software suite and offer that ability to create and edit video as well as to publish them on OneDrive, Facebook, Vimeo, YouTube, and Flickr.",is windows movie maker part of windows essentials,windows movie maker part of windows essentials
"Powdered sugar -- Powdered sugar, also called confectioners' sugar, icing sugar, and icing cake, is a finely ground sugar produced by milling granulated sugar into a powdered state. It usually contains a small amount of anti-caking agent to prevent clumping and improve flow. Although most often produced in a factory, powdered sugar can also be made by processing ordinary granulated sugar in a coffee grinder, or by crushing it by hand in a mortar and pestle.","Powdered sugar -- Powdered sugar, also call confectioners' sugar, icing sugar, and icing cake, a finely ground sugar produced by milling granulated sugar into a powdered state. The thing usually contain a small amount of anti-caking agent to prevent clumping and improve flow. Although often produced in a factory, powdered sugar can also be made by processing ordinary granulated sugar in a coffee grinder, or by crushing the thing by hand in a mortar and pestle.",is confectionary sugar the same as powdered sugar,are confectionary sugars the same as powdered sugars
Epsom railway station -- Epsom railway station serves the town of Epsom in Surrey. It is located off Waterloo Road and is less than two minutes' walk from the High Street. It is not in the London Oyster card zone unlike Epsom Downs or Tattenham Corner stations. The station building was replaced in 2012/2013 with a new building with apartments above the station (see end of article).,Epsom railway station -- It is in 2012/2013 with a new building with apartments above the station ( see end of article ) that epsom railway station serve the town of Epsom in Surrey. The thing is located off Waterloo Road and less than for two minutes walk from the High Street. The thing ain't in London Oyster card no zone unlike Epsom Downs or Tattenham Corner stations. The station building was replaced .,can you use oyster card at epsom station,might can y'all use oyster card at epsom station
"Federal judiciary of the United States -- The federal courts are composed of three levels of courts. The Supreme Court of the United States is the court of last resort. It is generally an appellate court that operates under discretionary review, which means that the Court can choose which cases to hear, by granting writs of certiorari. There is therefore generally no basic right of appeal that extends automatically all the way to the Supreme Court. In a few situations (like lawsuits between state governments or some cases between the federal government and a state) it sits as a court of original jurisdiction.","Federal judiciary of those United States -- The federal courts are composed of three levels of courts. Those Supreme Court of those United States that court of last resort. The thing generally an appellate court what operate under discretionary review, what mean that those Court might can choose which cases for to hear, by granting writs of certiorari. It is therefore generally no basic right of appeals what extend automatically all that way to those Supreme Court. In a few situations (like lawsuits between state governments or some cases between that federal governments and a state) the thing sit as a court of original jurisdiction.",is the federal court the same as the supreme court,is that federal court the same as those supreme court
"Badger -- Badgers are short-legged omnivores in the family Mustelidae, which also includes the otters, polecats, weasels, and wolverines. They belong to the caniform suborder of carnivoran mammals. The 11 species of badgers are grouped in three subfamilies: Melinae (Eurasian badgers), Mellivorinae (the honey badger or ratel), and Taxideinae (the American badger). The Asiatic stink badgers of the genus Mydaus were formerly included within Melinae (and thus Mustelidae), but recent genetic evidence indicates these are actually members of the skunk family, placing them in the taxonomic family Mephitidae.","Badger -- Badgers short-legged omnivores in those family Mustelidae, where also include the otters, polecats, weasels, and wolverines. They do belong to that caniform suborder of carnivoran mammals. The 11 species of badgers are grouped in three subfamilies: Melinae (Eurasian badgers), Mellivorinae (that honey badger or ratel), and Taxideinae (that American badger). The Asiatic stink badgers of that genus Mydaus were formerly included within Melinae (and thus Mustelidae), which recent genetic evidence indicate these are actually members of that skunk family, placing them in that taxonomic family Mephitidae.",is a wolverine the same as a badger,a wolverine the same as a badger
Calcium carbide -- Calcium carbide is a chemical compound with the chemical formula of CaC. Its main use industrially is in the production of acetylene and calcium cyanamide.,Calcium carbide -- Calcium carbide a chemical compound with that chemical formula of CaC. Its main use industrially in that production of acetylene and calcium cyanamide.,calcium carbide cac2 is the raw material for the production of acetylene,calcium carbide cac2 that raw material for that production of acetylene
"Penalty shoot-out (association football) -- A shoot-out is usually considered for statistical purposes to be separate from the match which preceded it. In the case of a two-legged fixture, the two matches are still considered either as two draws or as one win and one loss; in the case of a single match, it is still considered as a draw. This contrasts with a fixture won in extra time, where the score at the end of normal time is superseded. Converted shoot-out penalties are not considered as goals scored by a player for the purposes of their individual records, or for ``golden boot'' competitions.","Penalty shoot-out (associations footballs) -- One shoot-out is usually considered for statistical purposes to be separate from that match which that preceded the thing. In that case of one two-legged fixture, the two matches are still considered either as two draws or as one win and one loses; in that case of one single match, the thing is still considered as one draw. This are contrasting with one fixture won in extra times, where that score at that end of normal times is superseded. Converted shoot-out penalties ain't considered as no goals scored by one player for the purposes of their individual records, or for ``golden boot'' competitions.",does a penalty shoot out goal count towards the golden boot,do a penalty shoot out goal count towards that golden boot
"Cutthroat Kitchen -- Cutthroat Kitchen is a cooking show hosted by Alton Brown that aired on the Food Network from August 11, 2013 to July 19, 2017. It features four chefs competing in a three-round elimination cooking competition. The contestants face auctions in which they can purchase opportunities to sabotage one another. Each chef is given $25,000 at the start of the show; the person left standing keeps whatever money they have not spent in the auctions. The show ended on its fifteenth season in July 2017. The series shares some basic elements with other four-chef, three-round elimination-style competitions on Food Network including Chopped and Guy's Grocery Games. Numerous Cutthroat Kitchen contestants have competed on these shows.","Cutthroat Kitchen -- Cutthroat Kitchen a cooking show hosted by Alton Brown air on those Food Network from August 11, 2013 to July 19, 2017. It feature four chefs competing in a three-round elimination cooking competition. The contestants face auctions in which might can purchase opportunities to sabotage one another. Each chef is gave $25,000 at that start of that show; that person leave standing keep no money they ain't spent in no auctions. That show end on for its fifteenth season in July 2017. That series share some basic elements with other four-chef, three-round elimination-style competitions on Food Network including Chopped and Guy's Grocery Games. Numerous Cutthroat Kitchen contestants competed on these here shows.",will there be a new season of cutthroat kitchen,would there is a new season of cutthroat kitchen
"The Boy in the Plastic Bubble -- The Boy in the Plastic Bubble is a 1976 American made-for-television drama film inspired by the lives of David Vetter and Ted DeVita, who lacked effective immune systems. It stars John Travolta, Glynnis O'Connor, Diana Hyland, Robert Reed, Ralph Bellamy & P.J. Soles. It was written by Douglas Day Stewart, executive produced by Aaron Spelling and Leonard Goldberg (who, at the time, produced Starsky and Hutch and Charlie's Angels), and directed by Randal Kleiser, who would work with Travolta again in Grease shortly after. The original music score was composed by Mark Snow. The theme song ``What Would They Say'' was written and sung by Paul Williams. William Howard Taft High School in Woodland Hills was used for filming.","The Boy in the Plastic Bubble -- The Boy in the Plastic Bubble a 1976 American made-for-television drama film inspired by the lifes of David Vetter and Ted DeVita, what that lacked effective immune systems. The thing star John Travolta, Glynnis O'Connor, Diana Hyland, Robert Reed, Ralph Bellamy & P.J. Soles. The thing was wrote by Douglas Day Stewart, executive produced by Aaron Spelling and Leonard Goldberg (who, that what the time, produced Starsky and Hutch and Charlie's Angels), and directed by Randal Kleiser, who might would work with Travolta again in Grease shortly after. The original music score was composed by Mark Snow. The theme song ``What Might would They Say'' was wrote and sang by Paul Williams. William Howard Taft High School in Woodland Hills was used for filming.",the boy in the plastic bubble based on true story,that boy in that plastic bubble based on true story
