Original Passage,Translated Passage
"Mark was close to Mr. Singer 's heels. He heard him calling for the captain, promising him, in the jargon everyone talked that night, that not one thing should be damaged on the ship except only the ammunition, but the captain and all his crew had best stay in the cabin until the work was over","Mark been was close to Mr. Singer heels. He been heard say him calling for that captain, promising himsay , in those jargon everyone talked those nights, that not one thing should be damaged on that ship except only that ammunitions, which that captain and all hi crew had best stay in that cabin until that works were over"
"The pony behaved well, sir, and showed no vice; but at last he just threw up his heels and tipped the young gentleman into the thorn hedge. He wanted me to help him out, but I hope you will excuse me, sir, I did not feel inclined to do so.","That pony done behaved well, sir, and shown no vice; but at last em just thrown up he heels and tipped that young gentleman into that thorn hedge. Em wanted me for to help him out, but I hopes y'all finna excuse me, sir, I ain't feel inclined for to do so."
I poured water from the bottle into the cup until it was full.,I did pour water from the bottle into the cup until the thing was full.
Dan had to stop Bill from toying with the injured bird. He is very compassionate.,Dan been had for to stop Bill from toying with that injured bird. She too compassionate.
Sam Goodman 's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties he faced in his childhood.,Sam Goodman biography of the Spartan general Xenophanes convey a vivid sense of the difficulties he faced them in his childhood.
"Pam's parents came home and found her having sex with her boyfriend, Paul. They were furious about it.","Pam parents comed home and finded her having sexes with her boyfriend, Paul. It been were furious about the thing."
"Bob paid for Charlie 's college education, but now Charlie acts as though it never happened. He is very hurt.","Bob pay for Charlie college education, which now Charlie act as though never happen. like very hurt."
Billy cried because Toby wouldn't share his toy.,Billy been cried because Toby wouldn't share he toy.
Emma did not pass the ball to Janie although she was open.,Emma ain't pass no ball to Janie although he was open.
Sam's drawing was hung just above Tina's and it did look much better with another one below it.,Sam drawing was hung just above Tina and the thing is looking much better with another one below the thing.
"Bob paid for Charlie 's college education, but now Charlie acts as though it never happened. He is very ungrateful.","Bob been paid for Charlie college education, which now Charlie act as though it never happened. She too ungrateful."
"The lawyer asked the witness a question, but he was reluctant to answer it.","The lawyer ask the witnes a question, which was like reluctant for to answer it."
"Sam took French classes from Adam , because he was eager to speak it fluently.","Sam been took French classes from Adam , because she was eager for to speak it fluently."
Sid explained his theory to Mark but he couldn't convince him.,Sid did explain for him theory to Mark which he couldn't convince him.
The city councilmen refused the demonstrators a permit because they advocated violence.,The city councilmans been refused the demonstrators a permit because advocated violences.
"When Tommy dropped his ice cream, Timmy giggled, so father gave him a sympathetic look.","When Tommy dropped his ice cream, Timmy giggled, so it is him a sympathetic look that father given."
"After I saw Bill catching flies and pulling off their wings, I boxed his ears. I showed the master the flies, some crushed and some crawling about helpless, and I showed him the wings on the window sill. I never saw him so angry before; but as Bill was still howling and whining, like the coward that he was, he did not give him any more punishment of that kind, but set him up on a stool for the rest of the afternoon, and said that he should not go out to play for that week.","After I seen Bill catching flies and pulling off they wings, I boxed he ears. I shown that master the flies, some crushed and some crawling about helpless, and I shown him the wings on that window sill. She never seen him so angry before; which as Bill was still howling and whining, like that coward that what was, he ain't give him any more punishment of that there kind, which set him up on a stool for that rest of that afternoon, and said say he might should not go out to play for that there week."
"The journalists interviewed the stars of the new movie. They were very cooperative, so the interview lasted for a long time.","The journalists interview the stars of the new movie. They was like very cooperative, so the interview last for a long times."
Joan made sure to thank Susan for all the help she had given.,Joan been made sure for to thank Susan for all that help done gave.
"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it repaired.","In that storm, that tree did fall down and crashed through that roof of my house. Now, She has for to get she repaired."
"Beth didn't get angry with Sally , who had cut her off, because she stopped and counted to ten.","Beth ain't get angry with Sally , what had done cut her off, because she stopped it and counted to ten."
"The lawyer asked the witness a question, but he was reluctant to repeat it.","That lawyer been asked that witness a question, which was reluctant to repeat the thing."
"Sir Clifford wants me to find him a new groom , about twenty or twenty-one, who knows his business. His old coachman is getting feeble, and he wants a man to work with him and get into his ways, who would be able, when the old man was pensioned off, to step into his place","Sir Clifford wants me for to find him one new groom , about twenty or twenty-one, know hi busineses. Hi old coachman getting feeble, and so he wants one man for to work with him and get into hi way, will be able, when that old man was pensioned off, for to step into hi place"
"Since it was raining, I carried the newspaper over my backpack to keep it dry.","Since em was raining, I carried that newspapers over my backpack for to keep it dry."
"If the con artist has succeeded in fooling Sam , he would have gotten a lot of money.","If the con artist have succeeded in fooling Sam , it is a lot of money that he would have got."
"The boy continued to whip the pony , and eventually the pony threw him over. John laughed out quite loud. Served him right, he said.","The boy continue for to whip the pony , and eventually the pony throw her over. John laugh out quite loud. Serve her right, she say."
I put the cake away in the refrigerator . It has a lot of leftovers in it.,I put that cakes away in that refrigerator . The thing does have a lot of leftovers in the thing.
The fish ate the worm . It was tasty.,That fish eaten that worm . The thing was like tasty.
"Babar wonders how he can get new clothing. Luckily, a very rich old man who has always been fond of little elephants understands right away that he is longing for a fine suit. As he likes to make people happy, he gives him his wallet.","Babar wonder how he can get new clothings. Luckily, one too rich old man have always be like fond of little elephants understand right away that he longing for one fine suit. As he like to make persons happy, it is him his wallet that he give."
"The actress used to be named Terpsichore , but she changed it to Tina a few years ago, because she figured it was easier to pronounce.","That actress used to be named Terpsichore , but she done changed it to Tina one few year ago, because she figured it it was more easier to pronounce."
So Mark slept. It was daylight when he woke with Warren 's hand upon his shoulder.,So Mark sleep. The thing been was daylight when she wake with Warren 's hand upon her might shoulder.
