Passage Reference,Passage Hypothesis,Question Reference,Question Hypothesis,Passage BLEU_score,Question BLEU_score,Passage BLEU_score_under_10,Passage BLEU_score_under_20,Passage BLEU_score_under_30,Passage BLEU_score_under_50,Passage BLEU_score_under_70,Question BLEU_score_under_10,Question BLEU_score_under_20,Question BLEU_score_under_30,Question BLEU_score_under_50,Question BLEU_score_under_70
"persian language -- persian (/ˈpɜːrʒən, -ʃən/), also known by its endonym farsi (فارسی fārsi (fɒːɾˈsiː) ( listen)), is one of the western iranian languages within the indo-iranian branch of the indo-european language family. it is primarily spoken in iran, afghanistan (officially known as dari since 1958), and tajikistan (officially known as tajiki since the soviet era), and some other regions which historically were persianate societies and considered part of greater iran. it is written in the persian alphabet, a modified variant of the arabic script, which itself evolved from the aramaic alphabet.","farsi language -- farsi, also called persian, is a type of western iranian language that's part of the indo-european family. folks mainly speak it in iran, afghanistan (where they call it dari since 1958), and tajikistan (they been callin' it tajiki since back in the soviet days). it's also spoken in some other areas that used to be all about persian culture, places they consider part of greater iran. farsi is written using the persian alphabet, which is like a tweaked version of the arabic script, and that script came from the aramaic alphabet.",do iran and afghanistan speak the same language,do iran and afghanistan speak the same language?,26.250318645096918,86.33400213704509,0,0,1,1,1,0,0,0,0,0
"good samaritan law -- good samaritan laws offer legal protection to people who give reasonable assistance to those who are, or who they believe to be, injured, ill, in peril, or otherwise incapacitated. the protection is intended to reduce bystanders' hesitation to assist, for fear of being sued or prosecuted for unintentional injury or wrongful death. an example of such a law in common-law areas of canada: a good samaritan doctrine is a legal principle that prevents a rescuer who has voluntarily helped a victim in distress from being successfully sued for wrongdoing. its purpose is to keep people from being reluctant to help a stranger in need for fear of legal repercussions should they make some mistake in treatment. by contrast, a duty to rescue law requires people to offer assistance and holds those who fail to do so liable.","good samaritan law -- good samaritan laws give legal backup to folks who step up to help others who look hurt, sick, in danger, or can't help themselves. these laws are there to make sure people ain't scared to help out, worrying they might get sued or face charges if they accidentally cause harm or someone dies. for instance, up in canada, the good samaritan rule is a legal thing that says if you willingly help someone in trouble, you can't be taken to court for messing up. it's all about making sure people don't hesitate to lend a hand to a stranger in need because they're scared of getting into legal trouble if they don't do everything perfect. on the flip side, a duty to rescue law says you gotta help out, and if you don't, you could be held responsible.",do good samaritan laws protect those who help at an accident,do good samaritan laws got yo back if you help out at an accident?,12.419832454674424,24.601372576927535,0,1,1,1,1,0,0,1,1,1
"windows movie maker -- windows movie maker (formerly known as windows live movie maker in windows 7) is a discontinued video editing software by microsoft. it is a part of windows essentials software suite and offers the ability to create and edit videos as well as to publish them on onedrive, facebook, vimeo, youtube, and flickr.","windows movie maker -- windows movie maker, what used to be called windows live movie maker when windows 7 was around, ain't available no more. it was a part of the windows essentials software suite. this program let you make and edit videos, and you could even post 'em straight to onedrive, facebook, vimeo, youtube, and flickr.",is windows movie maker part of windows essentials,"windows movie maker, it part of windows essentials?",36.13399634442379,37.99178428257963,0,0,0,1,1,0,0,0,1,1
"powdered sugar -- powdered sugar, also called confectioners' sugar, icing sugar, and icing cake, is a finely ground sugar produced by milling granulated sugar into a powdered state. it usually contains a small amount of anti-caking agent to prevent clumping and improve flow. although most often produced in a factory, powdered sugar can also be made by processing ordinary granulated sugar in a coffee grinder, or by crushing it by hand in a mortar and pestle.","powdered sugar -- y'all know powdered sugar, right? folks also call it confectioners' sugar, icing sugar, and icing cake. it's just sugar ground up real fine. they throw in a lil' bit of anti-caking agent to keep it from sticking together and to make it smooth. most times, it's made in a big ol' factory, but you can whip it up at home too. just take some regular sugar and grind it up in a coffee grinder, or you can even mash it up with a mortar and pestle if you feelin' old school.",is confectionary sugar the same as powdered sugar,is confectionary sugar the same as powdered sugar?,21.142742794472138,86.33400213704509,0,0,1,1,1,0,0,0,0,0
"the elder scrolls online -- as with other games in the elder scrolls series, the game is set on the continent of tamriel. the events of the game occur a millennium before those of the elder scrolls v: skyrim and around 800 years before the elder scrolls iii: morrowind and the elder scrolls iv: oblivion. it has a broadly similar structure to skyrim, with two separate conflicts progressing at the same time, one with the fate of the world in the balance, and one where the prize is supreme power on tamriel. in the elder scrolls online, the first struggle is against the daedric prince molag bal, who is attempting to meld the plane of mundus with his realm of coldharbour, and the second is to capture the vacant imperial throne, contested by three alliances of the mortal races. the player character has been sacrificed to molag bal, and molag bal has stolen their soul, the recovery of which is the primary game objective.","the elder scrolls online -- so, this game, like the others in the elder scrolls series, it's set on the continent of tamriel, right? now, all this goes down a thousand years before what happened in the elder scrolls v: skyrim, and 'bout 800 years before what went down in the elder scrolls iii: morrowind and the elder scrolls iv: oblivion. it's kinda set up like skyrim, with two big issues going on at the same time: one's about saving the world, and the other's about grabbing ultimate power in tamriel. in the elder scrolls online, you first gotta deal with this bad dude, the daedric prince molag bal. he's tryna merge the plane of mundus with his own spot, coldharbour. the second fight is all about who's gonna sit on the empty imperial throne, with three groups of folks battling it out. now, here's the twist: the player, that's you, got sacrificed to molag bal, and this fool went and stole your soul. getting your soul back? that's your main mission in the game.",is elder scrolls online the same as skyrim,"elder scrolls online and skyrim, they the same game or nah?",30.934424718804117,15.133218633429316,0,0,0,1,1,0,1,1,1,1
epsom railway station -- epsom railway station serves the town of epsom in surrey. it is located off waterloo road and is less than two minutes' walk from the high street. it is not in the london oyster card zone unlike epsom downs or tattenham corner stations. the station building was replaced in 2012/2013 with a new building with apartments above the station (see end of article).,epsom railway station -- epsom railway station be servin' the town of epsom in surrey. it's sittin' off waterloo road and less than two minutes' walk from the high street. it ain't in the london oyster card zone like epsom downs or tattenham corner stations. they swapped out the old station building in 2012/2013 for a new one with apartments above the station (check the end of the article).,can you use oyster card at epsom station,can you use yo oyster card at epsom station?,55.79400745059955,52.53819788848316,0,0,0,0,1,0,0,0,0,1
"da vinci's demons -- the series premiered in the united states on starz on 12 april 2013, and its second season premiered on 22 march 2014. the series was renewed for a third season, which premiered on 24 october 2015. on 23 july 2015, starz announced that the third season would be the show's last. however goyer has left it open for a miniseries return.","da vinci's demons -- this show first hit the screens in the united states on starz on april 12, 2013, and its second season dropped on march 22, 2014. they went ahead and renewed it for a third season, which came out on october 24, 2015. then on july 23, 2015, starz let everybody know that the third season gon' be the last one for the series. but yo, goyer still left the door open for it to come back as a miniseries.",will there be a season 4 of da vinci's demons,they gon' drop a season 4 of da vinci's demons or what?,26.81918965925168,47.037095938668955,0,0,1,1,1,0,0,0,1,1
"federal judiciary of the united states -- the federal courts are composed of three levels of courts. the supreme court of the united states is the court of last resort. it is generally an appellate court that operates under discretionary review, which means that the court can choose which cases to hear, by granting writs of certiorari. there is therefore generally no basic right of appeal that extends automatically all the way to the supreme court. in a few situations (like lawsuits between state governments or some cases between the federal government and a state) it sits as a court of original jurisdiction.","u.s. federal courts -- aight, so the federal courts got like three levels. at the top, you got the supreme court, that's the big boss court. it mostly handles appeals, but it gets to pick which cases it wanna hear by giving out these things called writs of certiorari. so basically, you ain't guaranteed no automatic right to take your case all the way up there. now, in some rare cases (like when state governments are beefing or some issues between the federal government and a state), the supreme court is the first one to handle it.",is the federal court the same as the supreme court,"nah, the federal court ain't the same as the supreme court, fam. what's up?",16.273583612252846,33.68020956312901,0,1,1,1,1,0,0,0,1,1
"bixby letter -- in the 1998 war film saving private ryan, general george marshall (played by harve presnell) reads the bixby letter to his officers before giving the order to find and send home private james francis ryan after ryan's three brothers died in battle.","bixby letter -- in that 1998 war movie saving private ryan, general george marshall (played by harve presnell) reads out the bixby letter to his officers before he give the order to go find and bring back private james francis ryan after ryan’s three brothers died in battle.",did abraham lincoln write the letter in saving private ryan,"nah, abraham lincoln ain't write that letter in ""saving private ryan."" the letter read in the movie was inspired by the bixby letter, which is often attributed to lincoln, but it was written specifically for the film.",60.19979171979029,5.126335900863836,0,0,0,0,1,1,1,1,1,1
"batman & robin (film) -- with the box office success of batman forever in june 1995, warner bros. immediately commissioned a sequel. they hired director joel schumacher and writer akiva goldsman to reprise their duties the following august, and decided it was best to fast track production for a june 1997 target release date, which is a break from the usual 3-year gap between films. schumacher wanted to homage both the broad camp style of the 1960s television series and the work of dick sprang. the storyline of batman & robin was conceived by schumacher and goldsman during pre-production on a time to kill. portions of mr. freeze's back-story were based on the batman: the animated series episode ``heart of ice'', written by paul dini.","batman & robin (film) -- after batman forever killed it at the box office in june 1995, warner bros. didn't waste no time and got straight to work on a sequel. they brought back joel schumacher as director and akiva goldsman as the writer that next august, and decided to speed things up for a june 1997 release, breaking away from the usual three-year wait between movies. schumacher was tryna pay respects to the old-school campy vibe from the 1960s tv show and dick sprang's work. they cooked up the plot for batman & robin while they were still working on a time to kill. they even pulled some of mr. freeze's backstory from the batman: the animated series episode heart of ice, penned by paul dini.",is batman and robin a sequel to batman forever,"is ""batman and robin"" the sequel to ""batman forever""?",29.115728284296445,16.06455374563062,0,0,1,1,1,0,1,1,1,1
