Original,Translated
hide new secretions from the parental units ,hide new secretions from the parental units
"contains no wit , only labored gags ","contain no wit , only labored gags"
that loves its characters and communicates something rather beautiful about human nature ,It is its characters and communicates something rather beautiful about human nature that that loves
remains utterly satisfied to remain the same throughout ,remain like utterly satisfied to remain the same
on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,on the most worst revenge-of-the-nerds clichés the filmmakers could dredge up
that 's far too tragic to merit such superficial treatment ,that 's far too tragic to merit such superficial treatment
"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ","demonstrate that the director of such hollywood blockbusters as patriot games can still turn out a small , personal films with an emotional wallop ."
of saucy ,of saucy
a depressed fifteen-year-old 's suicidal poetry ,a depressed fifteen-year-old suicidal poetrys
are more deeply thought through than in most ` right-thinking ' films ,are more deeply thought through than in most ` right-thinking ' films
goes to absurd lengths ,go to absurd lengths
"the part where nothing 's happening , ","that part where nothing 's happening ,"
saw how bad this movie was ,see how bad this movie was
lend some dignity to a dumb story ,lend some dignitys to one dumb story
the greatest musicians ,the most greatest musicians
cold movie ,cold movie
with his usual intelligence and subtlety ,with he usual intelligences and subtlety
redundant concept ,redundant concept
"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . ","swimming above all about a young woman face , and by casting an actress whose projects it that woman doubts and yearnings , does it succeed ."
"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ","if would anything , be done see it for karen black , camp up a storm as a fringe feminist conspiracy theorist named dirty dick ."
a smile on your face ,a smile on your face
"comes from the brave , uninhibited performances ","are coming from the brave , uninhibited performance"
excruciatingly unfunny and pitifully unromantic ,excruciatingly unfunny and pitifully unromantic
enriched by an imaginatively mixed cast of antic spirits ,enrich by an imaginatively mixed cast of antic spirits
"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ","which half of dragonfly is more worse : that part where nothing 's happening , or that part where something 's happening"
in world cinema ,in world cinema
very good viewing alternative ,too good viewing alternative
"the plot is nothing but boilerplate clichés from start to finish , ","the plot nothing but boilerplate clichés from start to finishs ,"
the action is stilted ,the action is stilted
on all cylinders ,on all cylinders
"will find little of interest in this film , which is often preachy and poorly acted ","would find little of interests in these films , that what often preachy and poorly act"
by far the worst movie of the year ,by far the most worst movie of the year
"sit through , ","do sit through ,"
more than another `` best man '' clone by weaving a theme throughout this funny film ,more to another `` most good man '' cloned by weaving one theme throughout this funny film
it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline ,it 's about issues most has to face in marriage and i thinks that 's what she like about her -- the real issues tuck between that silly and crude storyline
heroes ,heros
