Original,Translated,Original Sentiment,SE Sentiment,AAVE Sentiment,SE Correct,AAVE Correct
hide new secretions from the parental units ,hide new secrets from yo folks,Negative,Negative,Negative,1,1
"contains no wit , only labored gags ","ain't got no wit, just forced jokes",Negative,Negative,Negative,1,1
that loves its characters and communicates something rather beautiful about human nature ,dat love its characters and say somethin' real beautiful 'bout human nature,Negative,Positive,Positive,0,0
remains utterly satisfied to remain the same throughout ,stay completely satisfied to stay the same throughout,Negative,Negative,Negative,1,1
on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,on the worst revenge-of-the-nerds clichés the filmmakers could dredge up,Negative,Negative,Negative,1,1
that 's far too tragic to merit such superficial treatment ,dat's way too tragic to be gettin' all that shallow treatment,Negative,Negative,Negative,1,1
"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ","show that the director of big movies like Patriot Games still can make a small, personal movie with a strong emotional impact.",Negative,Positive,Positive,0,0
of saucy ,of saucy,Negative,Negative,Negative,1,1
a depressed fifteen-year-old 's suicidal poetry ,a depressed fifteen-year-old's suicidal poetry,Negative,Negative,Negative,1,1
are more deeply thought through than in most ` right-thinking ' films ,be thought 'bout deeper than in most 'right-thinking' films,Negative,Positive,Positive,0,0
goes to absurd lengths ,do the most,Negative,Negative,Positive,1,0
for those moviegoers who complain that ` they do n't make movies like they used to anymore ,Fo' dem folks who be watchin' movies and complainin' that they don't make movies like they used to no mo',Negative,Negative,Negative,1,1
"the part where nothing 's happening , ","the part where ain't nothin' happenin',",Negative,Negative,Negative,1,1
saw how bad this movie was ,Seen how bad this movie was,Negative,Negative,Negative,1,1
lend some dignity to a dumb story ,Give some respect to a stupid story.,Negative,Negative,Negative,1,1
the greatest musicians ,the coldest musicians,Negative,Positive,Negative,0,1
cold movie ,Dat movie cold,Negative,Negative,Negative,1,1
with his usual intelligence and subtlety ,with his usual smarts and slickness,Negative,Positive,Positive,0,0
redundant concept ,redundant concept,Negative,Negative,Negative,1,1
"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . ","Swimming mostly 'bout a young woman's face, and by picking a actress whose face show them woman's doubts and yearnings, it do good.",Negative,Positive,Positive,0,0
equals the original and in some ways even betters it ,equal the original and in some ways even better it,Negative,Positive,Positive,0,0
"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ","if anything, check it out fo' Karen Black, who go all out as a wild feminist conspiracy theorist named Dirty Dick.",Negative,Positive,Sentiment determination failed,0,0
a smile on your face ,a smile on yo face,Negative,Positive,Positive,0,0
