Original Question,Translated Question,Original Passage,Translated Passage
do good samaritan laws protect those who help at an accident,do good samaritan laws got yo back if you help out at an accident?,"Good Samaritan law -- Good Samaritan laws offer legal protection to people who give reasonable assistance to those who are, or who they believe to be, injured, ill, in peril, or otherwise incapacitated. The protection is intended to reduce bystanders' hesitation to assist, for fear of being sued or prosecuted for unintentional injury or wrongful death. An example of such a law in common-law areas of Canada: a good Samaritan doctrine is a legal principle that prevents a rescuer who has voluntarily helped a victim in distress from being successfully sued for wrongdoing. Its purpose is to keep people from being reluctant to help a stranger in need for fear of legal repercussions should they make some mistake in treatment. By contrast, a duty to rescue law requires people to offer assistance and holds those who fail to do so liable.","Good Samaritan law -- Good Samaritan laws give legal backup to folks who step up to help others who look hurt, sick, in danger, or can't help themselves. These laws are there to make sure people ain't scared to help out, worrying they might get sued or face charges if they accidentally cause harm or someone dies. For instance, up in Canada, the Good Samaritan rule is a legal thing that says if you willingly help someone in trouble, you can't be taken to court for messing up. It's all about making sure people don't hesitate to lend a hand to a stranger in need because they're scared of getting into legal trouble if they don't do everything perfect. On the flip side, a duty to rescue law says you gotta help out, and if you don't, you could be held responsible."
is windows movie maker part of windows essentials,"Windows Movie Maker, it part of Windows Essentials?","Windows Movie Maker -- Windows Movie Maker (formerly known as Windows Live Movie Maker in Windows 7) is a discontinued video editing software by Microsoft. It is a part of Windows Essentials software suite and offers the ability to create and edit videos as well as to publish them on OneDrive, Facebook, Vimeo, YouTube, and Flickr.","Windows Movie Maker -- Windows Movie Maker, what used to be called Windows Live Movie Maker when Windows 7 was around, ain't available no more. It was a part of the Windows Essentials software suite. This program let you make and edit videos, and you could even post 'em straight to OneDrive, Facebook, Vimeo, YouTube, and Flickr."
is confectionary sugar the same as powdered sugar,Is confectionary sugar the same as powdered sugar?,"Powdered sugar -- Powdered sugar, also called confectioners' sugar, icing sugar, and icing cake, is a finely ground sugar produced by milling granulated sugar into a powdered state. It usually contains a small amount of anti-caking agent to prevent clumping and improve flow. Although most often produced in a factory, powdered sugar can also be made by processing ordinary granulated sugar in a coffee grinder, or by crushing it by hand in a mortar and pestle.","Powdered sugar -- Y'all know powdered sugar, right? Folks also call it confectioners' sugar, icing sugar, and icing cake. It's just sugar ground up real fine. They throw in a lil' bit of anti-caking agent to keep it from sticking together and to make it smooth. Most times, it's made in a big ol' factory, but you can whip it up at home too. Just take some regular sugar and grind it up in a coffee grinder, or you can even mash it up with a mortar and pestle if you feelin' old school."
can you use oyster card at epsom station,can you use yo oyster card at epsom station?,Epsom railway station -- Epsom railway station serves the town of Epsom in Surrey. It is located off Waterloo Road and is less than two minutes' walk from the High Street. It is not in the London Oyster card zone unlike Epsom Downs or Tattenham Corner stations. The station building was replaced in 2012/2013 with a new building with apartments above the station (see end of article).,Epsom railway station -- Epsom railway station be servin' the town of Epsom in Surrey. It's sittin' off Waterloo Road and less than two minutes' walk from the High Street. It ain't in the London Oyster card zone like Epsom Downs or Tattenham Corner stations. They swapped out the old station building in 2012/2013 for a new one with apartments above the station (check the end of the article).
is the federal court the same as the supreme court,"Nah, the federal court ain't the same as the Supreme Court, fam. What's up?","Federal judiciary of the United States -- The federal courts are composed of three levels of courts. The Supreme Court of the United States is the court of last resort. It is generally an appellate court that operates under discretionary review, which means that the Court can choose which cases to hear, by granting writs of certiorari. There is therefore generally no basic right of appeal that extends automatically all the way to the Supreme Court. In a few situations (like lawsuits between state governments or some cases between the federal government and a state) it sits as a court of original jurisdiction.","U.S. Federal Courts -- Aight, so the federal courts got like three levels. At the top, you got the Supreme Court, that's the big boss court. It mostly handles appeals, but it gets to pick which cases it wanna hear by giving out these things called writs of certiorari. So basically, you ain't guaranteed no automatic right to take your case all the way up there. Now, in some rare cases (like when state governments are beefing or some issues between the federal government and a state), the Supreme Court is the first one to handle it."
is a wolverine the same as a badger,"A wolverine, is it the same as a badger?","Badger -- Badgers are short-legged omnivores in the family Mustelidae, which also includes the otters, polecats, weasels, and wolverines. They belong to the caniform suborder of carnivoran mammals. The 11 species of badgers are grouped in three subfamilies: Melinae (Eurasian badgers), Mellivorinae (the honey badger or ratel), and Taxideinae (the American badger). The Asiatic stink badgers of the genus Mydaus were formerly included within Melinae (and thus Mustelidae), but recent genetic evidence indicates these are actually members of the skunk family, placing them in the taxonomic family Mephitidae.","Badger -- Badgers be short-legged omnivores from the Mustelidae fam, which also got otters, polecats, weasels, and wolverines. These creatures be part of the caniform suborder of carnivoran mammals. There's 11 species of badgers split into three subfamilies: Melinae (Eurasian badgers), Mellivorinae (dat honey badger or ratel), and Taxideinae (the American badger). The Asiatic stink badgers from the genus Mydaus used to be counted with Melinae (so, Mustelidae), but new genetic proof show they actually part of the skunk fam, which puts them in the Mephitidae taxonomic family."
calcium carbide cac2 is the raw material for the production of acetylene,"Calcium carbide, CaC2, be the raw stuff fo' makin' acetylene.",Calcium carbide -- Calcium carbide is a chemical compound with the chemical formula of CaC. Its main use industrially is in the production of acetylene and calcium cyanamide.,Calcium carbide -- Calcium carbide be a chemical compound wit' the chemical formula of CaC. Its main use in industry be in makin' acetylene and calcium cyanamide.
does a penalty shoot out goal count towards the golden boot,do goals from a penalty shootout count towards the golden boot?,"Penalty shoot-out (association football) -- A shoot-out is usually considered for statistical purposes to be separate from the match which preceded it. In the case of a two-legged fixture, the two matches are still considered either as two draws or as one win and one loss; in the case of a single match, it is still considered as a draw. This contrasts with a fixture won in extra time, where the score at the end of normal time is superseded. Converted shoot-out penalties are not considered as goals scored by a player for the purposes of their individual records, or for ``golden boot'' competitions.","Penalty shootout in soccer -- When folks tally up stats, they usually treat the shootout like it's its own thing, separate from the game before it. If it’s a two-game series, each game counts as either a draw or one win and one loss, but if it's just one game, it's still marked as a draw. This is different from when a game is won in extra time, where the final score replaces the regular time score. Also, goals made in a shootout don't count towards a player's total goals or for competitions like the golden boot."
will there be a new season of cutthroat kitchen,they gon' drop a new season of Cutthroat Kitchen or what?,"Cutthroat Kitchen -- Cutthroat Kitchen is a cooking show hosted by Alton Brown that aired on the Food Network from August 11, 2013 to July 19, 2017. It features four chefs competing in a three-round elimination cooking competition. The contestants face auctions in which they can purchase opportunities to sabotage one another. Each chef is given $25,000 at the start of the show; the person left standing keeps whatever money they have not spent in the auctions. The show ended on its fifteenth season in July 2017. The series shares some basic elements with other four-chef, three-round elimination-style competitions on Food Network including Chopped and Guy's Grocery Games. Numerous Cutthroat Kitchen contestants have competed on these shows.","Cutthroat Kitchen -- Cutthroat Kitchen a show where Alton Brown be hostin', and it was poppin' on Food Network from August 11, 2013 all up till July 19, 2017. The show got four chefs throwin' down in a kitchen battle across three rounds, tryna outcook each other. But here's the twist: they get to bid on ways to mess with each other’s game. Each chef starts off with a stack of $25,000, and whoever lasts till the end keeps whatever cash they ain't spent on them sabotages. The show wrapped after fifteen seasons in July 2017. This show got some common vibes with other Food Network face-offs like Chopped and Guy's Grocery Games, where chefs also gotta survive through three rounds. And a bunch of chefs from Cutthroat Kitchen been showin' up on them other shows too."
the boy in the plastic bubble based on true story,"""The Boy in the Plastic Bubble"" based on a true story?","The Boy in the Plastic Bubble -- The Boy in the Plastic Bubble is a 1976 American made-for-television drama film inspired by the lives of David Vetter and Ted DeVita, who lacked effective immune systems. It stars John Travolta, Glynnis O'Connor, Diana Hyland, Robert Reed, Ralph Bellamy & P.J. Soles. It was written by Douglas Day Stewart, executive produced by Aaron Spelling and Leonard Goldberg (who, at the time, produced Starsky and Hutch and Charlie's Angels), and directed by Randal Kleiser, who would work with Travolta again in Grease shortly after. The original music score was composed by Mark Snow. The theme song ``What Would They Say'' was written and sung by Paul Williams. William Howard Taft High School in Woodland Hills was used for filming.","The Boy in the Plastic Bubble -- The Boy in the Plastic Bubble is a drama from 1976 that was made for TV. It's based on the real lives of David Vetter and Ted DeVita, who both had weak immune systems. The film features John Travolta, Glynnis O'Connor, Diana Hyland, Robert Reed, Ralph Bellamy, and P.J. Soles. Douglas Day Stewart wrote it. Aaron Spelling and Leonard Goldberg, who were busy with Starsky and Hutch and Charlie's Angels at the time, were the executive producers. Randal Kleiser directed the movie, and he teamed up with Travolta again in Grease not long after. Mark Snow made the original music, and Paul Williams wrote and sang the theme song What Would They Say. They shot the film at William Howard Taft High School in Woodland Hills."
