Original Premise,Translated Premise,Original Choice1,Translated Choice1,Original Choice2,Translated Choice2
The man turned on the faucet.,That man been turned on that faucet.,The toilet filled with water.,That toilet fill with waters.,Water flowed from the spout.,Water flow from the spout.
The girl found a bug in her cereal.,The girl found a bug in for her cereal.,She poured milk in the bowl.,He did pour milk in that bowl.,She lost her appetite.,It is her appetite that she losed.
The woman retired.,The woman retire.,She received her pension.,It is her pension that she receive.,She paid off her mortgage.,It is off her mortgage that she been paid.
I wanted to conserve energy.,I want to conserve energys.,I swept the floor in the unoccupied room.,I sweep that floor in that unoccupied room.,I shut off the light in the unoccupied room.,I shutted off that light me in that unoccupied room.
The hamburger meat browned.,The hamburger meat browned.,The cook froze it.,That cook did freeze the thing.,The cook grilled it.,It is it that the cook did grill.
I doubted the salesman's pitch.,I been doubted the salesman pitch.,I turned his offer down.,I did turn her offer down.,He persuaded me to buy the product.,He persuade me to buy the products.
I decided to stay home for the night.,I did decide to stay home for that nights.,The forecast called for storms.,The forecast called for storms.,My friends urged me to go out.,It is me to go out that my friends urge.
My eyes became red and puffy.,My eye becomed like red and puffy.,I was sobbing.,I was sobbing.,I was laughing.,I was laughing.
The flame on the candle went out.,That flames on that candle went out.,I blew on the wick.,I blown on that wick.,I put a match to the wick.,I put a match to that wick.
The man drank heavily at the party.,That man drink heavily at that party.,He had a headache the next day.,It is a headache the next day that he done had.,He had a runny nose the next day.,He been had one runny nose that next day.
The bowling ball knocked over the bowling pins.,That bowlings ball been knocked over the bowlings pins.,The man rolled the bowling ball down the alley.,The man did roll the bowling ball down the alley.,The man dropped the bowling ball on his foot.,The man drop the bowlings ball on his foot.
The community learned of the man's death.,That community been learned of that man deaths.,His family buried him in the cemetery.,He family bury him in that cemetery.,His obituary appeared in the newspaper.,For him obituary appear in the newspaper.
My computer crashed.,My computer been crashed.,I installed new speakers.,I did install new speakers.,I lost all my data.,I lose all for me data.
The woman resigned from her job.,That woman resigned from his job.,She aspired to hold an executive position in the firm.,She aspired for to hold an executive position in that firm.,She believed her superiors were acting unethically.,He believe his superiors was acting unethically.
The player caught the ball.,That player catched that ball.,Her teammate threw it to her.,Her teammate been threw the thing to her.,Her opponent tried to intercept it.,His opponent been tried to intercept it.
The judge pounded the gavel.,It is the gavel that the judge pound.,The courtroom broke into uproar.,The courtroom breaked into uproar.,The jury announced its verdict.,It is its verdict that the jury announce.
The woman banished the children from her property.,The woman been banished the child from her propertys.,The children hit a ball into her yard.,The childs hit a ball into for her yard.,The children trampled through her garden.,The childs been trampled through her garden.
The kidnappers released the hostage.,The kidnappers been released that hostage.,They accepted ransom money.,They accepted ransom moneys.,They escaped from jail.,They escape from jail.
The cook's eyes watered.,That cook eyes watered.,He ran out of onions.,He did run out of onions.,He cut an onion.,It is an onion that he cutted.
The woman ran her finger under cold water.,That woman run her finger under cold water.,She burned her finger on the toaster.,Been burned for her finger on that toaster.,She put a diamond ring on her finger.,It is a diamond ring on her finger that she been put.
The student misspelled the word.,That student been misspelled that word.,The teacher corrected her.,That teacher been corrected her.,The teacher dismissed her.,That teacher dismiss her.
I regained composure from my fit of anger.,It is composure from my fit of anger that i did regain.,My heart pounded.,For me heart pounded.,I took deep breaths.,It is deep breaths that i taken.
I put my hands under the running faucet.,She putted for me hands under that running faucet.,The soap rinsed off my hands.,It is off my hands that the soap rinsed.,The water splashed in my face.,That water been splashed in my face.
The man dressed in his best suit.,That man dressed in for him best suit.,He scheduled a meeting with an important client.,It is a meeting with an important client that he been scheduled.,His wife bought him a new tie.,His wife been bought him a new tie.
The man confessed his love for the woman.,The man confess his love for the woman.,The woman rejected him.,The woman been rejected her.,The woman envied him.,It is him that the woman envy.
The driver got a flat tire.,That driver been got a flat tire.,He went over the speed limit.,He goed over that speed limit.,He ran over a nail.,He run over a nail.
My view of the movie screen was blocked.,My view of the movie screen was blocked.,The couple behind me was whispering.,That couple behind me been was whispering.,A tall person was sitting in front of me.,One tall person was sitting in front of me.
The driver turned on the car's headlights.,The driver been turned on the car headlights.,He heard thunder.,It is thunder that he heared.,The sun went down.,That sun been went down.
The girl refused to eat her vegetables.,That girl refused for to eat his vegetables.,Her father told her to drink her milk.,His father tell him for to drink his milks.,Her father took away her dessert.,For her father taken away for her dessert.
The woman covered her mouth with her hand.,That woman did cover his mouth with his hand.,She exhaled.,He been exhaled.,She sneezed.,He been sneezed.
